iter	Passed	Remaining
910	2443	238
911	2447	236
912	2450	233
913	2453	230
914	2457	228
915	2461	225
916	2464	223
917	2466	220
918	2469	217
919	2471	214
920	2473	212
921	2477	209
922	2479	206
923	2482	204
924	2485	201
925	2488	198
926	2491	196
927	2493	193
928	2495	190
929	2498	188
930	2501	185
931	2503	182
932	2506	179
933	2509	177
934	2511	174
935	2513	171
936	2516	169
937	2519	166
938	2522	163
939	2525	161
940	2527	158
941	2529	155
942	2532	153
943	2534	150
944	2537	147
945	2540	145
946	2544	142
947	2546	139
948	2548	136
949	2551	134
950	2554	131
951	2556	128
952	2558	126
953	2561	123
954	2563	120
955	2566	118
956	2569	115
957	2571	112
958	2573	110
959	2576	107
960	2578	104
961	2582	102
962	2585	99
963	2587	96
964	2589	93
965	2591	91
966	2594	88
967	2596	85
968	2599	83
969	2602	80
970	2604	77
971	2606	75
972	2608	72
973	2611	69
974	2614	67
975	2616	64
976	2619	61
977	2621	58
978	2623	56
979	2626	53
980	2628	50
981	2631	48
982	2633	45
983	2636	42
984	2639	40
985	2641	37
986	2644	34
987	2647	32
988	2649	29
989	2651	26
990	2654	24
991	2656	21
992	2659	18
993	2662	16
994	2664	13
995	2667	10
996	2669	8
997	2672	5
998	2675	2
999	2677	0
